Field,RMSE_LR,MAE_LR,MAPE_LR
field1,8.023101255,6.05679654,124.0109427
field2,14.56382256,10.63920083,71.22548048
field3,492.8015026,360.6494544,421.2326545
field4,12.90269147,8.369963776,316484557.9
field7,10.92295823,9.000614125,63.98678809
field8,13.34744669,10.58994211,64.15603842
