Target,RMSE,MAE,MAPE
target1,1.0000000010279562e-06,1.0000000010279564e-06,4.3717042797056055e-06
target2,1.0000000010279562e-06,1.0000000010279564e-06,3.5749313099911944e-06
target3,1.0000000157463424e-06,1.0000000157463416e-06,1.1793057791644607e-07
target4,1e-06,1.0000000000000002e-06,100.0
target7,1.0000000010279562e-06,1.0000000010279564e-06,4.029549875213745e-06
target8,1.0000000010279562e-06,1.0000000010279564e-06,3.726707939966376e-06
