Target,RMSE,MAE,MAPE
target1,1.0000000010279562e-06,1.0000000010279564e-06,4.375669960696281e-06
target2,9.999999993996294e-07,9.999999993996294e-07,3.1718339542959207e-06
target3,9.999999974752427e-07,9.999999974752427e-07,1.99351532155308e-07
target4,9.99999999997861e-07,9.99999999997861e-07,0.0001916708711776975
target7,1.0000000010279562e-06,1.0000000010279564e-06,4.029549875239472e-06
target8,1.0000000010279562e-06,1.0000000010279564e-06,3.726707939966376e-06
