FIELD,RMSE_RNN,MAE_RNN,MAPE_RNN
model1,9.329858069,7.576909677,114.8553785
model2,15.94121372,11.82989829,78.4674857
model3,414.8792524,293.9683596,347.9159681
model4,16.78039577,8.010455519,13034559895
model7,10.70191269,9.024978104,66.44658731
model8,13.53680897,11.38287921,77.52477421
