Model,RMSE,MAE,MAPE
model1,13.353208458330428,10.642562755245532,73.3884647279274
model2,25.411043508604266,19.07729869841518,58.22799753620659
model3,389.9368385800588,255.3573662158155,279.71480981101206
model4,41.69428826939572,36.10181051647172,242466522897.48694
model7,13.890568313972391,11.556570513055057,99.70028424273785
model8,16.1583241803053,13.663614164080352,103.27218487951946
