Field,RMSE,MAE,MAPE
field1,13.353208384091609,10.642562716518231,73.38846607979427
field2,25.41104334149087,19.07729858189486,58.22799778551894
field3,389.9368373306085,255.35737080124147,279.7148192430219
field4,41.694288745006965,36.101811008941034,242466525570.93192
field7,13.890568696734066,11.556570867858177,99.70028766513396
field8,16.158323754409757,13.663613972720494,103.27218201147075
