Field,RMSE,MAE
field1,112.41385907430366,89.11072940787855
field2,67.91239766284679,54.56041361714086
field3,72.82902097710662,59.436567043513044
field4,163.84569303288822,136.13370963152838
field7,9.563603009042348,8.074837807195866
field8,12.839073689508835,11.190884559458901
