Target,RMSE,MAE
target1,56.68777705748066,51.71758309390176
target2,31.806313478420936,29.427439511300722
target3,84.70236484226565,66.84918506116631
target4,88.06586237431863,72.57786586001679
target7,18.602322786957952,16.40228431933052
target8,24.05617466802902,20.934321222928947
