Field,RMSE_CB,MAE_CB
field1,139.25300391948093,110.35328052959379
field2,93.76220697182268,75.85610955053815
field3,165.00649161146418,139.4288997614462
field4,194.27710880353445,161.31513440180322
field7,14.15927537638945,12.391130607355032
field8,18.228627508164834,15.767313859168604
