Field,RMSE_XG,MAE_XG
field1,117.80987685013372,93.16786513213744
field2,62.69849424209112,49.76945683492299
field3,120.81720956326186,96.88285289749228
field4,163.467797661291,136.94243840341238
field7,12.519085215831451,10.551317027867272
field8,17.271390913082328,14.28742870922226
