Field,RMSE_LRM,MAE_LRM
field1,58.78466515195217,52.06874934141041
field2,43.798493437744405,39.310021888045426
field3,92.48678759617182,77.15843430221473
field4,96.52075825616167,78.43917684697382
field7,20.19586948180555,18.272007820320642
field8,25.465025187105613,22.723194552603715
