Target,RMSE_XGB,MAE_XGB,MAPE_XGB
target1,109.2407336,85.168517,35.67394671
target2,66.90754032,52.72331264,39.83945204
target3,122.5959281,103.8608167,11.32087773
target4,165.3103656,138.906858,52.74625756
target7,11.30722439,8.268115843,19.36745282
target8,22.6128462,18.11892393,28.99654276
