Datetime,id,field1,field2,field3,field4,field5,field6,field7,field8
11-01-2023 08:45,504133,15.65836299,19.56087824,1582.113821,22.68518519,28,74.6,24.46666667,25.8
11-01-2023 09:00,504148,18.742586,21.55688623,1091.382114,6.018518519,28,74.2,25.33333333,27.33333333
11-01-2023 09:15,504163,19.6915777,25.94810379,1049.105691,4.861111111,28,74.26666667,25.93333333,27.66666667
11-01-2023 09:30,504178,21.11506524,24.750499,1086.829268,7.175925926,28,74.06666667,28.8,32
11-01-2023 09:45,504193,21.82680902,27.74451098,1101.788618,4.62962963,28,74.53333333,32,37
11-01-2023 10:00,504208,21.82680902,27.34530938,980.8130081,3.240740741,28,75,33.46666667,38.6
11-01-2023 10:15,504223,22.77580071,28.34331337,1069.918699,4.62962963,28,75,34.33333333,41.2
11-01-2023 10:30,504238,23.48754448,29.54091816,830.5691057,1.388888889,28,76,34.26666667,40.8
11-01-2023 10:45,504253,25.38552788,32.93413174,918.3739837,2.083333333,28,76.26666667,36,43.6
11-01-2023 11:00,504268,30.13048636,37.1257485,1388.943089,8.101851852,28.66666667,75.26666667,35.46666667,41.93333333
11-01-2023 11:15,504283,31.07947805,41.91616766,1424.390244,6.25,29,74.46666667,35.86666667,42.93333333
11-01-2023 11:30,504298,31.79122183,44.71057884,1255.934959,1.388888889,29,73.4,36.4,43.4
11-01-2023 11:45,504313,32.74021352,48.70259481,1050.731707,0,29,73.33333333,37.8,45.46666667
11-01-2023 12:00,504328,36.53618031,53.09381238,1236.097561,0.462962963,29,72.26666667,37.26666667,45.2
11-01-2023 12:15,504343,35.11269276,51.09780439,1117.073171,0,29,72.26666667,37.26666667,45.46666667
11-01-2023 12:30,504358,32.5029656,48.10379242,932.6829268,0,29,71.4,35.13333333,41.33333333
11-01-2023 12:45,504373,32.26571767,48.90219561,922.2764228,0,30,71,32.33333333,36.53333333
11-01-2023 13:00,504388,29.18149466,48.90219561,760.6504065,0,30,70.13333333,30.26666667,33.26666667
11-01-2023 13:15,504403,33.68920522,52.09580838,980.4878049,0.231481481,30,69.2,29.93333333,33.26666667
11-01-2023 13:30,504418,32.26571767,54.29141717,879.3495935,0,30,68.06666667,29.46666667,31.6
11-01-2023 13:45,504433,32.74021352,55.48902196,860.8130081,0.231481481,30,67.53333333,29.53333333,32.26666667
11-01-2023 14:00,504448,27.04626335,53.09381238,728.1300813,0,30,66.8,29.4,32
11-01-2023 14:15,504463,18.742586,48.10379242,469.5934959,0,30,64.73333333,23.6,26.2
11-01-2023 14:30,504478,23.01304864,51.69660679,632.8455285,0,30.73333333,64.46666667,24.26666667,25.46666667
11-01-2023 14:45,504493,23.96204033,51.09780439,668.9430894,0,31,63.2,23.8,25.66666667
11-01-2023 15:00,504508,23.96204033,50.499002,613.6585366,0,31,61.4,17.93333333,18.66666667
11-01-2023 15:15,504523,15.42111507,41.51696607,565.5284553,0,31,57.4,14.46666667,14.8
11-01-2023 15:30,504538,13.99762752,44.91017964,340.8130081,0,31,58,16.26666667,16.73333333
11-01-2023 15:45,504553,19.6915777,50.499002,404.5528455,0,31,57.06666667,17.6,19.26666667
11-01-2023 16:00,504568,18.03084223,53.69261477,307.3170732,0,31,56,17.46666667,18.4
11-01-2023 16:15,504583,29.89323843,59.48103792,639.3495935,0,31,56.13333333,21.6,23.2
11-01-2023 16:30,504598,17.79359431,52.69461078,336.9105691,0,31.13333333,54.93333333,16.53333333,18.13333333
11-01-2023 16:45,504613,23.25029656,51.49700599,346.0162602,0,31,54,11.46666667,12.4
11-01-2023 17:00,504628,35.82443654,64.27145709,665.6910569,0,31,57.4,16.13333333,16.93333333
11-01-2023 17:15,504643,39.14590747,65.06986028,761.300813,0.231481481,31,62,20.2,21.33333333
11-01-2023 17:30,504658,39.62040332,59.68063872,829.5934959,0.925925926,31,63.06666667,17.2,18.33333333
11-01-2023 17:45,504673,36.53618031,54.09181637,815.2845528,1.388888889,31,64,16.66666667,17.86666667
11-01-2023 18:00,504688,32.97746145,48.90219561,800.6504065,1.388888889,31,64.53333333,14.26666667,15.33333333
11-01-2023 18:15,504703,33.68920522,47.10578842,809.7560976,2.314814815,31,65,16.33333333,17.26666667
11-01-2023 18:30,504718,32.02846975,46.30738523,1053.00813,5.092592593,31,65.66666667,14.86666667,15.86666667
11-01-2023 18:45,504733,32.97746145,45.10978044,973.3333333,6.712962963,31,66.06666667,14.2,15.26666667
11-01-2023 19:00,504748,32.97746145,44.71057884,870.8943089,3.472222222,30.4,67,14.53333333,15.53333333
11-01-2023 19:15,504763,31.07947805,42.11576846,849.4308943,2.546296296,30,67.73333333,14.2,16.13333333
11-01-2023 19:30,504778,29.65599051,40.11976048,558.699187,0.231481481,30,68.2,17.8,19.66666667
11-01-2023 19:45,504793,29.65599051,40.11976048,654.9593496,0.231481481,30,68,17.4,18.73333333
11-01-2023 20:00,504808,27.52075919,38.32335329,601.9512195,0,30,68.26666667,20.06666667,21.8
11-01-2023 20:15,504823,21.58956109,36.32734531,284.8780488,0,30,68.8,16.33333333,18.2
11-01-2023 20:30,504838,24.43653618,37.3253493,307.3170732,0,29,70.6,12.33333333,13.66666667
11-01-2023 20:45,504853,28.94424674,43.71257485,415.6097561,0,28.66666667,72.86666667,14.26666667,15.4
11-01-2023 21:00,504868,31.31672598,40.31936128,483.2520325,0,28,74.26666667,16.53333333,18
11-01-2023 21:15,504883,30.13048636,36.72654691,477.398374,0,28,74.33333333,17.4,18.66666667
11-01-2023 21:30,504898,27.52075919,34.73053892,529.4308943,0,29,73.93333333,18.4,19.53333333
11-01-2023 21:45,504913,27.04626335,35.72854291,556.4227642,0,28.93333333,74.06666667,19,20.8
11-01-2023 22:00,504928,27.52075919,34.33133733,603.2520325,0,28.66666667,74.6,21.6,24
11-01-2023 22:15,504943,28.23250297,32.13572854,711.2195122,0,29,74.73333333,26.4,29
11-01-2023 22:30,504958,25.14827995,29.74051896,906.9918699,0.925925926,29,73.86666667,27.86666667,30.4
11-01-2023 22:45,504973,23.96204033,31.53692615,865.3658537,0,29,73.46666667,24.73333333,26.73333333
11-01-2023 23:00,504988,24.43653618,30.33932136,908.9430894,1.62037037,29,73.4,27.53333333,30.86666667
11-01-2023 23:15,505003,23.48754448,30.33932136,897.8861789,0.462962963,29,73,21.06666667,22.73333333
11-01-2023 23:30,505018,24.6737841,30.93812375,798.699187,0,29,72.93333333,19.6,20.86666667
11-01-2023 23:45,505033,22.53855279,31.13772455,794.1463415,0,29,73.13333333,20.46666667,21.6
12-01-2023 00:00,505048,21.82680902,31.13772455,582.1138211,0,29,72.66666667,21.8,23.53333333
12-01-2023 00:15,505063,21.58956109,30.93812375,489.4308943,0,28.8,72.33333333,24.46666667,26.13333333
12-01-2023 00:30,505078,24.19928826,33.13373253,488.4552846,0,28,73.6,24.06666667,26.13333333
12-01-2023 00:45,505093,25.14827995,32.93413174,499.1869919,0,28,74.6,28.93333333,31.53333333
12-01-2023 01:00,505108,24.91103203,31.93612774,523.5772358,0,28,75.06666667,28.86666667,30.93333333
12-01-2023 01:15,505123,23.25029656,29.34131737,487.804878,0,28,75,29.26666667,31.86666667
12-01-2023 01:30,505138,24.19928826,29.34131737,894.9593496,1.157407407,28.06666667,74.8,26.46666667,28.73333333
12-01-2023 01:45,505153,22.53855279,26.74650699,744.0650407,0.231481481,28.93333333,74.53333333,27.06666667,29.2
12-01-2023 02:00,505168,19.6915777,25.74850299,592.5203252,0,29,74,33.6,39
12-01-2023 02:15,505183,19.92882562,26.74650699,476.7479675,0,29,74.06666667,45.26666667,56.8
12-01-2023 02:30,505198,18.97983393,25.74850299,502.4390244,0,29,74,42.73333333,52.93333333
12-01-2023 02:45,505213,18.742586,24.35129741,446.504065,0.462962963,29,74,39.93333333,49.13333333
12-01-2023 03:00,505228,20.16607355,26.34730539,318.3739837,0,28.13333333,75.33333333,38.33333333,46.33333333
12-01-2023 03:15,505243,21.11506524,25.94810379,292.6829268,0,28,76.06666667,32.2,37.26666667
12-01-2023 03:30,505258,18.742586,22.95409182,262.1138211,0,28,76.4,29.46666667,32.4
12-01-2023 03:45,505273,17.55634638,20.35928144,235.1219512,0,28,77,27.46666667,29.66666667
12-01-2023 04:00,505288,17.55634638,19.96007984,302.7642276,0,28,76.93333333,25.06666667,27.13333333
12-01-2023 04:15,505303,15.65836299,18.76247505,369.7560976,0,28,76.2,26.33333333,28.73333333
12-01-2023 04:30,505318,16.84460261,19.96007984,465.3658537,0,28,76,28.86666667,30.13333333
